listing-location,price,bed,bath,listing-floorarea,harga_permeter_persegi,price_formatted,district,sub-district,area
"Bintaro, Tangerang Selatan, Banten",7900000000.0,5.0,5.0,283.0,31854839.0,"7,900,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2300000000.0,5.0,3.0,125.0,23958333.0,"2,300,000,000",,Bintaro,Bintaro
"Cluster Bohemia Gading Serpong Tangerang, Gading Serpong, Tangerang Selatan, Banten",2100000000.0,4.0,4.0,107.0,20000000.0,"2,100,000,000",Serpong,Serpong,Gading Serpong
"Bintaro, Tangerang Selatan, Banten",1690000000.0,3.0,2.0,90.0,17604167.0,"1,690,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",1900000000.0,4.0,3.0,140.0,19791667.0,"1,900,000,000",,Bintaro,Bintaro
"Ciputat, Tangerang Selatan, Banten",1550000000.0,3.0,2.0,69.0,18452381.0,"1,550,000,000",Ciputat,Ciputat,
"Ciputat, Tangerang Selatan, Banten",1400000000.0,3.0,2.0,57.0,23333333.0,"1,400,000,000",Ciputat,Ciputat,
"Jl Kana 3 BSD, Lengkong Gudang, Serpong, Serpong, Tangerang Selatan, Banten",3000000000.0,4.0,3.0,230.0,16666667.0,"3,000,000,000",Serpong,Lengkong Gudang,BSD
"Serpong Utara, Tangerang Selatan, Banten",2250000000.0,7.0,4.0,260.0,14062500.0,"2,250,000,000",Serpong,Serpong Utara,Serpong
"Ciputat, Tangerang Selatan, Banten",2500000000.0,4.0,2.0,150.0,26315789.0,"2,500,000,000",Ciputat,Ciputat,
"Griya Loka, BSD, Tangerang Selatan, Banten",2749999999.0,4.0,3.0,140.0,18835616.0,"2,749,999,999",,,BSD
"Cluster Patagonia, De Latinos, BSD, Tangerang Selatan, Banten",2000000000.0,3.0,2.0,120.0,17857143.0,"2,000,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",2700000000.0,5.0,4.0,200.0,18750000.0,"2,700,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",3000000000.0,4.0,3.0,130.0,25000000.0,"3,000,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",3300000000.0,5.0,4.0,156.0,24444444.0,"3,300,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",3750000000.0,6.0,3.0,300.0,12541806.0,"3,750,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",3850000000.0,6.0,3.0,270.0,17741935.0,"3,850,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",4500000000.0,5.0,6.0,300.0,22500000.0,"4,500,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",5500000000.0,6.0,4.0,240.0,16417910.0,"5,500,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",4375000000.0,5.0,4.0,194.0,18078512.0,"4,375,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",2098069498.0,5.0,4.0,115.0,15894466.0,"2,098,069,498",,Bintaro,Bintaro
"Pondok Aren, Tangerang Selatan, Banten",2200000000.0,4.0,4.0,125.0,18333333.0,"2,200,000,000",Pondok Aren,Pondok Aren,
"Pondok Aren, Tangerang Selatan, Banten",1800000000.0,4.0,4.0,119.0,18750000.0,"1,800,000,000",Pondok Aren,Pondok Aren,
"Lestari, Ciputat, Tangerang Selatan, Banten",2200000000.0,4.0,4.0,170.0,16296296.0,"2,200,000,000",Ciputat,Ciputat,
"Bintaro, Tangerang Selatan, Banten",8500000000.0,4.0,3.0,250.0,25000000.0,"8,500,000,000",,Bintaro,Bintaro
"Jl. Bohemia Raya, Gading Serpong, Tangerang Selatan, Banten",2150000000.0,4.0,4.0,150.0,17916667.0,"2,150,000,000",Serpong,Serpong,Gading Serpong
"Bintaro Sektor 7, Bintaro, Tangerang Selatan, Banten",6500000000.0,5.0,4.0,221.0,31862745.0,"6,500,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2300000000.0,3.0,2.0,88.0,31944444.0,"2,300,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",5600000000.0,4.0,3.0,249.0,27450980.0,"5,600,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",17000000000.0,5.0,4.0,502.0,55194805.0,"17,000,000,000",,Bintaro,Bintaro
"jalan lele 5, Pamulang, Tangerang Selatan, Banten",800000000.0,3.0,2.0,66.0,13333333.0,"800,000,000",Pamulang,,Pamulang
"Bintaro, Tangerang Selatan, Banten",6350000000.0,5.0,3.0,320.0,24901961.0,"6,350,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",6350000000.0,5.0,3.0,320.0,24901961.0,"6,350,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",8300000000.000001,4.0,3.0,290.0,25151515.0,"8,300,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",6500000000.0,4.0,5.0,236.0,47794118.0,"6,500,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",3500000000.0,4.0,3.0,250.0,19444444.0,"3,500,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",4200000000.0,3.0,3.0,127.0,28187919.0,"4,200,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",3500000000.0,6.0,4.0,200.0,25925926.0,"3,500,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2500000000.0,3.0,3.0,142.0,13888889.0,"2,500,000,000",,Bintaro,Bintaro
"Cluster Flamingo Bintaro Jaya Sektor 9, Bintaro, Tangerang Selatan, Banten",3350000000.0,4.0,3.0,150.0,14888889.0,"3,350,000,000",,Bintaro,Bintaro
"Discovery Bintaro, Bintaro, Tangerang Selatan, Banten",3700000000.0,5.0,4.0,152.0,27407407.0,"3,700,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",4400000000.0,4.0,3.0,149.0,24581006.0,"4,400,000,000",,Bintaro,Bintaro
"Ciputat, Tangerang Selatan, Ciputat, Tangerang Selatan, Banten",1400000000.0,3.0,3.0,240.0,11290323.0,"1,400,000,000",Ciputat,Ciputat,
"Bintaro, Tangerang Selatan, Banten",4150000000.0000005,4.0,3.0,250.0,23446328.0,"4,150,000,000",,Bintaro,Bintaro
"Jl.lengkong Serpong bsd, BSD, Tangerang Selatan, Banten",1200000000.0,3.0,2.0,69.0,20000000.0,"1,200,000,000",Serpong,Serpong,BSD
"villa cinere mas, pisangan, Ciputat Timur, Tangerang Selatan, Banten",13000000000.0,5.0,5.0,502.0,29545455.0,"13,000,000,000",Ciputat,Ciputat,
"Jl.lengkong Serpong Bsd, BSD, Tangerang Selatan, Banten",1200000000.0,3.0,2.0,69.0,20000000.0,"1,200,000,000",Serpong,Serpong,BSD
"Pamulang, Tangerang Selatan, Banten",948000000.0,3.0,1.0,45.0,8777778.0,"948,000,000",Pamulang,,Pamulang
"Bintaro, Tangerang Selatan, Banten",7950000000.0,5.0,3.0,420.0,22714286.0,"7,950,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",7500000000.0,4.0,3.0,290.0,20215633.0,"7,500,000,000",,Bintaro,Bintaro
"Jl lengkong raya Al Husainy Bsd, BSD, Tangerang Selatan, Banten",686000000.0,3.0,2.0,45.0,10718750.0,"686,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",5900000000.0,5.0,3.0,300.0,23137255.0,"5,900,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",15000000000.0,5.0,4.0,600.0,23809524.0,"15,000,000,000",,Bintaro,Bintaro
"Bintaro Sektor 9, Bintaro, Tangerang Selatan, Banten",7400000000.0,7.0,6.0,400.0,33944954.0,"7,400,000,000",,Bintaro,Bintaro
"Kencana Loka, BSD, Tangerang Selatan, Banten",4500000000.0,5.0,6.0,300.0,22500000.0,"4,500,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",8400000000.0,7.0,5.0,343.0,24705882.0,"8,400,000,000",,Bintaro,Bintaro
"Bintaro, Bintaro, Tangerang Selatan, Banten",600000000.0,3.0,2.0,55.0,10000000.0,"600,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",1675000000.0,3.0,3.0,100.0,14075630.0,"1,675,000,000",,Bintaro,Bintaro
"Pamulang, Tangerang Selatan, Banten",497500000.0,2.0,1.0,42.0,8024194.0,"497,500,000",Pamulang,,Pamulang
